Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3518107;Interior;Guarantã;2,49E+03;3,09E+01;2,02E+03;2,78E+02
3518206;Interior;Guararapes;3,04E+03;4,68E+01;1,02E+04;3,06E+02
3518305;RMSP (exceto capital);Guararema;2,07E+03;1,19E+02;5,86E+03;2,31E+02
3518404;Interior;Guaratinguetá;2,01E+03;5,41E+01;7,75E+03;2,08E+02
3518503;Interior;Guareí;1,28E+04;4,44E+01;8,95E+03;1,71E+02
3518602;Interior;Guariba;3,59E+03;9,74E+01;7,27E+03;1,74E+02
3518701;Interior;Guarujá;3,43E+03;1,55E+02;3,71E+03;2,61E+02
3518800;RMSP (exceto capital);Guarulhos;2,07E+03;1,26E+02;2,82E+03;2,45E+02
3518859;Interior;Guatapará;1,85E+03;5,38E+01;4,85E+03;2,82E+02
3518909;Interior;Guzolândia;2,21E+03;1,37E+02;9,34E+03;4,50E+02
3519006;Interior;Herculândia;1,23E+03;6,48E+01;1,14E+04;2,16E+02
3519055;Interior;Holambra;3,70E+03;2,76E+01;1,09E+04;6,90E+01
3519071;Interior;Hortolândia;3,48E+03;7,56E+01;7,86E+03;2,59E+02
3519105;Interior;Iacanga;3,29E+03;4,42E+01;1,05E+04;2,03E+02
3519204;Interior;Iacri;1,28E+03;0,00E+00;9,92E+03;2,55E+02
3519253;Interior;Iaras;1,10E+03;4,35E+01;3,06E+03;2,47E+02
3519303;Interior;Ibaté;1,78E+03;1,73E+01;9,60E+03;2,79E+02
3519402;Interior;Ibirá;4,30E+03;1,08E+02;1,29E+04;2,40E+02
3519501;Interior;Ibirarema;3,10E+03;6,66E+01;7,70E+03;3,73E+02
3519600;Interior;Ibitinga;3,44E+03;9,06E+01;1,36E+04;3,97E+02
3519709;Interior;Ibiúna;8,14E+02;4,19E+01;6,04E+03;1,45E+02
3519808;Interior;Icém;2,86E+03;3,74E+01;1,25E+04;3,24E+02
3519907;Interior;Iepê;2,06E+03;6,31E+01;1,01E+04;2,78E+02
3520004;Interior;Igaraçu do Tietê;2,29E+03;6,22E+01;1,04E+04;2,28E+02
3520103;Interior;Igarapava;2,58E+03;1,05E+02;2,11E+03;2,10E+02
3520202;Interior;Igaratá;1,11E+04;8,59E+01;1,13E+04;2,90E+02
3520301;Interior;Iguape;2,46E+03;6,11E+01;6,84E+03;3,26E+02
3520400;Interior;Ilhabela;8,59E+03;4,78E+01;1,36E+04;8,07E+01
3520426;Interior;Ilha Comprida;2,58E+03;1,36E+02;1,11E+04;3,40E+02
3520442;Interior;Ilha Solteira;2,48E+03;6,99E+01;8,86E+03;3,22E+02
3520509;Interior;Indaiatuba;4,55E+03;1,15E+02;6,79E+03;1,92E+02
3520608;Interior;Indiana;3,64E+03;1,05E+02;1,72E+03;1,26E+02
3520707;Interior;Indiaporã;1,19E+03;0,00E+00;9,65E+03;3,37E+02
3520806;Interior;Inúbia Paulista;1,31E+03;2,57E+01;1,21E+04;3,85E+02
3520905;Interior;Ipaussu;2,70E+03;2,76E+01;1,34E+04;2,83E+02
3521002;Interior;Iperó;1,02E+03;1,46E+01;8,21E+03;1,54E+02
3521101;Interior;Ipeúna;2,22E+03;1,32E+01;7,89E+03;2,64E+02
3521150;Interior;Ipiguá;6,63E+03;1,91E+02;1,41E+04;3,25E+02
